x,y
0,0.65813
0.15934,0.54282
0.22403,0.79195
0.18817,0.43351
0.30001,0.61007
0.29989,0.7461
0.23447,0.42687
0.37865,0.55448
0.22712,0.37061
0.26137,0.41563
0.23647,0.33371
0.21873,0.41505
0.29235,0.62172
0.18021,0.52527
0.26396,0.65591
0.3524,0.72648
0.35112,0.62092
0.13749,0.68645
0.31961,0.68319
0.25267,0.93747
0.323,0.68355
0.30145,0.32662
0.26366,0.61032
0.2871,0.6693
0.33518,0.71298
0.34433,0.69306
0.23009,0.48532
0.18538,0.56778
0.25569,0.61816
0.36708,0.59762
0.31466,0.88537
0.31862,0.30876
0.25387,0.69917
0.22886,0.75166
0.4489,0.46966
0.27999,0.64204
0.28555,0.54926
0.26694,0.39939
0.29352,0.57936
0.26339,0.8281
0.2073,0.50004
0.32628,0.66297
0.39958,0.38544
0.30244,0.41712
0.23052,0.36676
0.29249,0.33571
0.3671,0.41381
0.42615,0.42062
0.17935,0.49323
0.29695,0.30257
0.25459,0.48295
0.33028,0.44041
0.3012,0.43742
0.24256,0.5131
0.14824,0.74933
0.19414,0.56262
0.24119,0.6302
0.26694,0.81499
0.37914,0.67202
0.2421,0.58392
0.31692,0.73573
0.35824,0.91725
0.30606,0.48135
0.29469,0.69801
0.24087,0.43421
0.35325,0.36526
0.41419,0.45588
0.32494,0.55168
0.31191,0.25207
0.30635,0.3097
0.36817,0.55433
0.26251,0.65869
0.24848,0.68803
0.3293,0.63279
0.2644,0.53485
0.35716,0.64749
0.17481,0.95898
0.3908,0.87709
0.23157,0.55396
0.30659,0.78784
0.25191,0.4649
0.34336,0.61905
0.1784,0.5863
0.20551,0.68451
0.41448,0.37058
0.21262,0.66245
0.23407,0.59014
0.29295,0.61556
0.2263,0.40015
0.29948,0.50093
0.37915,0.31834
0.29344,0.44693
0.42175,0.40947
0.17591,0.5079
0.26609,0.59024
0.22047,0.69795
0.31665,0.39373
0.19046,0.60998
0.15192,0.7358
0.25766,0.71594
0.14763,0.31036
0.21861,0.67955
0.24576,0.5366
0.15883,0.7826
0.33178,0.71086
0.31178,0.50802
0.23958,0.60614
0.18035,0.64445
0.26682,0.17281
0.27513,0.46595
0.11992,0.50063
0.38933,0.38172
0.32184,0.20912
0.15239,0.69669
0.44124,0.46598
0.27624,0.7494
0.17407,0.41132
0.21644,0.71464
0.30846,0.67502
0.17668,0.65223
0.25147,0.39866
0.28027,0.53509
0.25523,0.48881
0.30389,0.41106
0.23301,0.49276
0.26873,0.30612
0.30289,0.53841
0.11628,0.53205
0.13964,0.43145
0.20553,0.66452
0.29431,0.39698
0.30382,0.524
0.23153,0.64668
0.38972,0.59722
0.37583,0.18294
0.27442,0.44081
0.54555,0.49894
0.25985,0.47558
0.36425,0.34868
0.28325,0.55654
0.15461,0.53678
0.43364,0.76645
0.2058,0.58119
0.29383,0.67534
0.43681,0.54269
0.33788,0.2737
0.31684,0.32959
0.27687,0.44414
0.30711,0.49455
0.43444,0.65485
0.25244,0.43096
0.27098,0.4636
0.25286,0.60399
0.25623,0.47419
0.27477,0.36844
0.33603,0.47546
0.29495,0.45543
0.22924,0.67307
0.416,0.5986
0.22082,0.65002
0.26255,0.49043
0.29433,0.89929
0.15791,0.5807
0.21002,0.41741
0.18799,0.35334
0.08189,0.57904
0.45324,0.49885
0.23159,0.34885
0.35315,0.48883
0.28946,0.30503
0.21117,0.67168
0.285,0.87184
0.31946,0.68085
0.19966,0.5121
0.38087,0.77915
0.38077,0.60957
0.28059,0.21125
0.33568,0.54043
0.1938,0.57587
0.33239,0.6526
0.27819,0.53731
0.41264,0.74964
0.21404,0.35258
0.44383,0.95364
0.28968,0.77797
0.32261,0.52422
0.40033,0.60909
0.3735,0.4249
0.22033,0.41568
0.21728,0.57547
0.21731,0.7198
0.37132,0.71031
0.27762,0.90164
0.2537,0.51168
0.29451,0.52799
0.3683,0.12947
0.27583,0.51442
0.31207,0.58657
0.1089,0.56937
0.23645,0.46061
0.20556,0.35908
0.23865,0.49816
0.22914,0.91259
0.25545,0.41595
